SMILE,IP,EA,HomoLumoGap
C(#N)N(C(=O)N(O)O)O,0.360035985,-0.028799338,-0.388835323
CC(=[N+]=[N-])C(=O)N,0.313493494,-0.022580329,-0.336073823
CC(=O)NO[N+](=O)[O-],0.363727551,-0.012563462,-0.376291013
C(=NNO[N+](=O)[O-])=O,0.368258801,-0.004307626,-0.372566427
CC(=[O+][O-])CO,0.31973945,-0.022487158,-0.342226608
C(=O)(O)OON,0.382081105,0.016061801,-0.366019304
C(#CO)C(O)(O)O,0.343626154,-0.113552033,-0.457178187
C(C=O)C=[O+][O-],0.329626475,-0.010047833,-0.339674308
C(C(=O)ON=C=O)N=C=O,0.366311872,-0.022584769,-0.388896641
C=CC(=O)OC=N,0.377624328,-0.010552691,-0.388177019
C(#N)C(=O)OC(=O)O,0.445134037,0.030261399,-0.414872638
C(NC(=O)N=O)(O)O,0.354128659,0.039774621,-0.314354038
[C-]#[N+]OOO[N+]#[C-],0.428428756,0.032172696,-0.39625606
C=C(O)OC(=O)O,0.320744806,-0.084695166,-0.405439972
[C-]#[N+]N([N+]#[C-])[N+]#[C-],0.40524341,-0.026528548,-0.431771958
C(#N)N(C#N)NN,0.373275068,-0.035202109,-0.408477177
[C-]#[N+]NC(=O)N([N+]#[C-])[N+]#[C-],0.37809263,-0.02409068,-0.40218331
C=CC(=O)NN=O,0.354568377,0.007332579,-0.347235798
CNC(=C)C#N,0.309753463,-0.053125822,-0.362879285
C(=NOO)C(=O)N,0.357987368,-0.027177906,-0.385165274
C(=O)OC(O)(O)O,0.395803544,-0.090041196,-0.48584474
C(C(=O)O)OC=C=O,0.321256185,-0.04605869,-0.367314875
C(O)OOOO,0.39856197,-0.081364674,-0.479926644
CC(=O)OOOO,0.392248928,-0.035865198,-0.428114126
C(=O)C(=O)NNN,0.337196306,-0.002278178,-0.339474484
[C-]#[N+]C(O)(O)O,0.408396774,-0.111305523,-0.519702297
CC(C=[O+][O-])O,0.326531287,-0.017615213,-0.3441465
C=CCC(=O)C#N,0.360208709,0.002968596,-0.357240113
